,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
10,BDMace,Bruce Mace,224375292,1285719902679171076,/BDMace/status/1285719902679171076,2020-07-21 23:34:46,1595374486,Democrats have ruled all these cities for 20 years and the murders last weekend alone are comparable to Baghdad and Beirut. Sickening weak democratic mayors are to busy handcuffing their police dept and painting communist slogans on streets to care,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Democrats have ruled all these cities for 20 years and the murders last weekend alone are comparable to Baghdad and <strong>Beirut</strong>. Sickening weak democratic mayors are to busy handcuffing their police dept and painting communist slogans on streets to care</p>",[],[],False,[],,0,0,0,False,True,1285534002900869121,"[{'screen_name': 'ChockoD', 'user_id': '1275447710573887488'}, {'screen_name': 'washingtonpost', 'user_id': '2467791'}]"
11,PeteForsyth,Pete Forsyth,14649205,1285719622319300608,/PeteForsyth/status/1285719622319300608,2020-07-21 23:33:40,1595374420,Little Beirut has become medium Beirut while the east coast wasn't looking. He doesn't know the beast he's poking.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Little <strong>Beirut</strong> has become medium <strong>Beirut</strong> while the east coast wasn't looking. He doesn't know the beast he's poking.</p>",[],[],False,[],,0,0,0,False,True,1285718003619897349,"[{'screen_name': 'e_j_hayes', 'user_id': '15119514'}]"
12,beirut_sami,Sami Beirut,1253846118879772673,1285718993073045504,/beirut_sami/status/1285718993073045504,2020-07-21 23:31:10,1595374270,موقع mtv يحاور صاحب الهويّات والجنسيّات الكثيرة والدور الخفي - https://www.mtv.com.lb/news/%D9%85%D9%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A …pic.twitter.com/XeaxhfcP1f,"<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">موقع mtv يحاور صاحب الهويّات والجنسيّات الكثيرة والدور الخفي - <a class=""twitter-timeline-link"" data-expanded-url=""https://www.mtv.com.lb/news/%D9%85%D9%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A"" dir=""ltr"" href=""https://t.co/8EnM4mM0sy"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.mtv.com.lb/news/%D9%85%D9%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">mtv.com.lb/news/%D9%85%D9</span><span class=""invisible"">%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/XeaxhfcP1f"">pic.twitter.com/XeaxhfcP1f</a></p>",['https://www.mtv.com.lb/news/%D9%85%D9%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A'],[],True,['https://pbs.twimg.com/media/EdfKmLIUcAAn6HE.jpg'],,1,0,0,False,True,1285195131046572032,"[{'screen_name': 'kahale_tayyar', 'user_id': '1226926214750855174'}]"
13,ALI_M_RAHAL,ALI RAHAL🇱🇧🇺🇸,1035145689519583232,1285718975381417985,/ALI_M_RAHAL/status/1285718975381417985,2020-07-21 23:31:05,1595374265,🙏🏻,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><img alt=""🙏🏻"" aria-label=""Emoji: Folded hands (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f-1f3fb.png"" title=""Folded hands (light skin tone)""/></p>",[],[],False,[],,1,0,0,False,True,1285718558232711169,"[{'screen_name': 'beirut_sami', 'user_id': '1253846118879772673'}]"
14,beirut_sami,Sami Beirut,1253846118879772673,1285718828266270720,/beirut_sami/status/1285718828266270720,2020-07-21 23:30:30,1595374230,بسم الله تحيطها من كل الجهات,"<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">بسم الله تحيطها من كل الجهات</p>",[],[],False,[],,1,0,1,True,True,1285718558232711169,"[{'screen_name': 'ALI_M_RAHAL', 'user_id': '1035145689519583232'}]"
15,NounMicheline,Noun,956974819286880256,1285717870039707648,/NounMicheline/status/1285717870039707648,2020-07-21 23:26:42,1595374002,"Dear Mrs. Grindlay, i need to be with my husband Levi Huston in Australia, but to complete my visa the immigration departmemt requested my biometrics, plz help me submit them at the embassy in beirut as the vfs global is closed since long time. I have old biometrics from dec2019","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dear Mrs. Grindlay, i need to be with my husband Levi Huston in Australia, but to complete my visa the immigration departmemt requested my biometrics, plz help me submit them at the embassy in <strong>beirut</strong> as the vfs global is closed since long time. I have old biometrics from dec2019</p>",[],[],False,[],,0,0,0,False,True,1281590504044388353,"[{'screen_name': 'SafirAustralia', 'user_id': '3160803576'}, {'screen_name': 'GeorgesKettaneh', 'user_id': '1263690043'}]"
16,summercloud73,LightLoveLiFe,908884146566696964,1285716496400998404,/summercloud73/status/1285716496400998404,2020-07-21 23:21:14,1595373674,Anti-Lebanon Mountains -Wikipedia was among the battle of Maysalym just wondering how trips of 1000 to 4000 will defeat12000 oh Hizbalah resistance ag Israel and all west bombed Lebanon crushed it worse than Hiroshima o AllepoHoms Mousal o Beirut 2006!Chr& https://en.wikipedia.org/wiki/Anti-Lebanon_Mountains …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Anti-Lebanon Mountains -Wikipedia was among the battle of Maysalym just wondering how trips of 1000 to 4000 will defeat12000 oh Hizbalah resistance ag Israel and all west bombed Lebanon crushed it worse than Hiroshima o AllepoHoms Mousal o <strong>Beirut</strong> 2006!Chr&amp; <a class=""twitter-timeline-link"" data-expanded-url=""https://en.wikipedia.org/wiki/Anti-Lebanon_Mountains"" dir=""ltr"" href=""https://t.co/DXsplJdYyv"" rel=""nofollow noopener"" target=""_blank"" title=""https://en.wikipedia.org/wiki/Anti-Lebanon_Mountains""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">en.wikipedia.org/wiki/Anti-Leba</span><span class=""invisible"">non_Mountains</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://en.wikipedia.org/wiki/Anti-Lebanon_Mountains'],[],False,[],,0,1,0,False,False,,[]
17,JMR1834,JMR Philomathia,84914362,1285716206998216704,/JMR1834/status/1285716206998216704,2020-07-21 23:20:05,1595373605,"No they come in hot, flat, and crowded like Tom Friedman conversations with anonymous taxi drivers in Beirut or weary commuters on packed train platforms in Mumbai","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">No they come in hot, flat, and crowded like Tom Friedman conversations with anonymous taxi drivers in <strong>Beirut</strong> or weary commuters on packed train platforms in Mumbai</p>",[],[],False,[],,1,0,0,False,True,1285714770923069441,"[{'screen_name': 'aedwardslevy', 'user_id': '23908154'}]"
18,RhFx500,Lampião 🚩,1243560185681100805,1285716110076268549,/RhFx500/status/1285716110076268549,2020-07-21 23:19:42,1595373582,Beirut é nós ✌🕊,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><strong>Beirut</strong> é nós <img alt=""✌"" aria-label=""Emoji: Victory hand"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/270c.png"" title=""Victory hand""/><img alt=""🕊"" aria-label=""Emoji: Dove of peace"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f54a.png"" title=""Dove of peace""/></p>",[],[],False,[],,0,0,0,False,False,,[]
19,AdrianCalamel,Adrian Calamel,1093331497212362753,1285715592423645186,/AdrianCalamel/status/1285715592423645186,2020-07-21 23:17:39,1595373459,#Hezbollah better tread lightly...any war will not be a redux of 2006. #Israel will drive to #Beirut. It will be 1982 all over again.👇 https://twitter.com/ViktorHardarson/status/1285707924665438215 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hezbollah?src=hash""><s>#</s><b>Hezbollah</b></a> better tread lightly...any war will not be a redux of 2006. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Israel?src=hash""><s>#</s><b>Israel</b></a> will drive to <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Beirut?src=hash""><s>#</s><b><strong>Beirut</strong></b></a><a dir=""ltr"" href=""/hashtag/Beirut?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/Lebanon_August2020/Lebanon_August2020.png""/></a></span>. It will be 1982 all over again.<img alt=""👇"" aria-label=""Emoji: Down pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447.png"" title=""Down pointing backhand index""/> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ViktorHardarson/status/1285707924665438215"" dir=""ltr"" href=""https://t.co/lFtBQZ4YS8"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ViktorHardarson/status/1285707924665438215""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ViktorHardarso</span><span class=""invisible"">n/status/1285707924665438215</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/ViktorHardarson/status/1285707924665438215'],"['Hezbollah', 'Israel', 'Beirut']",False,[],,2,0,0,False,False,,[]
