text
Ku-Ring-Gai #Bushfire Long Nose Point Kuringai 19th August 2019 #NSWRFS - Smoke affects Avalon and Newport Nthn Beaches #Sydneyhttps://twitter.com/NSWRFS/status/1163207922379137024 …
#Bushfire in winter! Do you have a plan to protect your #pet in a disaster? Visit http://protectyourpet.org.au  to download a free pack today! #protectanimals 🐶🐱https://twitter.com/NSWRFS/status/1163207922379137024 …
Uarbry's Jill Goodman tells of rebuilding life after #SirIvan bushfire 🔥 on Hear Them Raw podcast | The Land #ClimateChangehttps://www.theland.com.au/story/6326065/their-hoses-were-melting-they-were-exhausted/ …
"Bushfire seasons are now longer, more intense, and are burning in areas where they shouldn't be burning, former @FRNSW commissioner Greg Mullins says.https://www.parkeschampionpost.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=9402 …"
".@LismoreCouncil Council declares a #climateemergency. Floods, bushfires, droughts, heatwaves and sea-level rise are just some of the climate impacts which will substantially affect the area if action isn't taken.

https://bit.ly/2H6Q6ZS 

Via @Echonetdaily"
Bushfires on Sydney's north (and it's still winter) https://twitter.com/NSWRFS/status/1163207922379137024 …
"Hah! Yeah, even in new outer Sydney suburbs there was a couple of fixture gas BBQs in the local park. Gas hotplate jobbies.

Where I grew up in country WA local rangers ensured the BBQs down the beach had a well stocked logpile.

It's all gone gas now mind. (Bushfire hazard.)"
Early bushfire season now the new normal https://www.canberratimes.com.au/story/6333238/early-bushfire-season-now-the-new-normal/?cs=14246 … via @canberratimes
"By midday 18 August 2019 NSW Rural Fire Service reported there were 58 bush or grass fires across the state, with 31 still to be contained. NSW North Coast Bushfire Danger Period has officially begun this week https://northcoastvoices.blogspot.com/2019/08/bushfire-danger-period-has-begun-on-nsw.html … @Lynette_Eggins @Captainturtle @tincanoe"
"And I don't live in the bush, so bushfires aren't an issue here. Plus it rains daily, so they are an unlikely issue to be concerned about."
"#Espionage #Thrillers
#Spies #SpyStory
Bushfire by Paul Anthony https://www.amazon.co.uk/dp/B0054L7DCI/ref=cm_sw_r_tw_dp_U_x_hmdWCb0CA28H5 … … … via @AmazonUKpic.twitter.com/w9xlj54qM6"
Rode through a bushfire area by the looks. 🔥
"An excursion for residents in #bushfire prone areas is being planned for Sunday 1 Sept at Balingup, WA, 10am to noon. Posters are ready! 
@lindareynoldswa @PJ_Burner @AndrewBurrell7 @dfes_wapic.twitter.com/rAnXKZJRwM"
For sure but the operative word will be negligence. Canberra bushfires easy example. Lots of level of gov in ACT found negligent in not reducing fire loads in the bush land (from memory). Insurers paid out tens (100s) of millions as a result as they insured the governments.
"Yes and they also have the big data on all historical losses paid by loss type. Flood bushfire cyclone hail storm, you name it they’ve got the data! Uninsurable then government wakes up and legislates that it’s not they prob cause they can’t afford to pay for it."
