text
"Well, if they’re coming from Beirut."
اهلااااااااا بمريخ الحمل #البيت_الرابع 😂😂😂😂😂 منزمان عن الدراما
"Her comment section looks like Beirut. You could just not. No, but then again that would be the easy thing to do."
"#Russian #Russia #Norway #Sweden #NAVTEX #καστελοριζο #Italy #Ukraine #Lebanon #beirut #Europe #Spain #malta #nature #wildlifephotography #wildlife #mountains #hiking #لبنان #لبنان_يتنفض 
Altai mountains - Siberia - Russia🏔pic.twitter.com/c3lmjjgOxZ"
"la isla bonita, isla de encanta, Beirut-Long Island Sound -
Adam Green-Tropical Island
Weezer-island in the sun
Kenny Rodgers- Islands In The Stream
Idlewild-Take Me Back To The Islands
David Gilmour-On An Island"
"Made me recall my eye-opening trip to Beirut in 2011, when the old city centre and Corniche started being redeveloped - had thought that its rough post-war times had passed already ""The lights go out on Lebanon’s economy as financial collapse accelerates ""https://www.washingtonpost.com/world/middle_east/the-lights-go-out-on-lebanons-economy-as-financial-collapse-accelerates/2020/07/19/3acfc33e-bb97-11ea-97c1-6cf116ffe26c_story.html …"
"Khalas Khaye ana ahbal... 

Having few green pastures in Beirut will ruin the city and you have to take cut every single tree and destroy every small green space because you cannot expand. 

Have a nice day."
Ta3e saida aw ana benzal beirut😤
When I walk in the empty beirut streets after the crisis. feels like not alive anymore. pic.twitter.com/woun77B54D
"Hahahaha, ¿ahora me estas diciendo retrógrado? Para tu información estudié en Líbano, en Beirut, todas las universidades en Líbano están dentro del 0.5% de “las mejores universidades en el mundo” precisamente por investigación e innovación..."
Democrats have ruled all these cities for 20 years and the murders last weekend alone are comparable to Baghdad and Beirut. Sickening weak democratic mayors are to busy handcuffing their police dept and painting communist slogans on streets to care
Little Beirut has become medium Beirut while the east coast wasn't looking. He doesn't know the beast he's poking.
موقع mtv يحاور صاحب الهويّات والجنسيّات الكثيرة والدور الخفي - https://www.mtv.com.lb/news/%D9%85%D9%80%D9%80%D8%AD%D9%80%D9%80%D9%84%D9%80%D9%80%D9%8A%D9%80%D9%80%D8%A7%D8%AA/1023340/%D9%85%D9%88%D9%82%D8%B9-mtv-%D9%8A%D8%AD%D8%A7%D9%88%D8%B1-%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D9%91%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D9%91%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D9%81%D9%8A …pic.twitter.com/XeaxhfcP1f
🙏🏻
بسم الله تحيطها من كل الجهات
"Dear Mrs. Grindlay, i need to be with my husband Levi Huston in Australia, but to complete my visa the immigration departmemt requested my biometrics, plz help me submit them at the embassy in beirut as the vfs global is closed since long time. I have old biometrics from dec2019"
